STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,Crime_Rate
A & N Islands,Total,1999,11,0,0,3,1,1,4,3,1,2,2,3,62,63,2,59,11,10,8,2,6,120,0,18,0,9,2,1,323,660,55.0
Uttarakhand,Dehradun,1999,34,67,1,10,0,14,52,49,7,3,2,31,176,394,159,237,111,36,124,4,7,85,2,15,21,87,0,132,603,1987,56.77142857142857
Arunachal Pradesh,Lohit,1999,17,6,0,3,2,1,7,4,2,4,2,6,18,33,1,32,1,4,3,2,4,41,2,9,0,2,2,2,37,189,10.5
Andhra Pradesh,Medak,1999,102,57,13,33,0,37,25,22,6,28,1,25,221,288,34,252,101,18,86,4,36,1367,26,101,26,190,2,334,456,3531,34.28155339805825
Kerala,Thrissur,1999,40,81,20,43,0,42,17,8,11,13,1,82,404,517,190,327,578,38,391,11,3,1330,3,224,16,198,2,2,6456,10466,255.26829268292684
West Bengal,Siliguri G.R.P.,1999,4,1,4,0,0,2,1,2,0,1,5,1,0,90,0,89,5,2,0,1,2,2,1,1,2,2,2,1,31,142,28.4
Jharkhand,Latehar,1999,55,6,3,13,2,14,5,3,4,46,3,11,11,48,14,33,27,4,0,1,1,1,5,0,2,2,0,0,143,381,6.803571428571429
Jammu & Kashmir,Kargil,1999,2,1,2,1,1,2,4,3,0,2,1,2,3,7,4,2,3,2,1,2,3,1,1,3,1,0,1,1,62,84,28.0
West Bengal,Sealdah G.R.P.,1999,23,6,2,1,0,0,1,2,2,0,4,13,2,277,2,276,16,1,6,1,2,18,1,1,1,2,1,1,43,420,17.5
Maharashtra,Raigad,1999,54,12,1,18,2,20,6,3,8,12,7,27,202,298,56,241,104,14,44,0,9,276,2,27,9,56,0,276,763,2217,40.30909090909091
Rajasthan,Alwar,1999,85,81,0,34,1,35,121,85,33,2,3,52,287,966,296,671,444,33,363,8,45,2007,44,125,2,235,1,234,1864,7023,81.66279069767442
Jharkhand,Gumla,1999,136,19,9,29,0,30,14,9,7,31,1,46,30,56,40,16,38,4,6,0,1,0,2,4,2,10,3,2,226,657,4.795620437956204
West Bengal,Howrah,1999,29,10,6,4,2,0,9,3,6,6,2,4,1,172,44,123,46,11,17,2,11,126,9,12,1,44,1,166,516,1194,39.8
Odisha,Puri,1999,23,94,2,41,2,41,33,25,6,10,1,33,130,235,29,207,36,10,26,2,19,90,30,14,0,34,2,67,1272,2201,91.70833333333333
Sikkim,North,1999,1,2,1,2,2,2,1,2,2,0,0,0,3,2,2,1,1,0,5,0,1,6,0,0,2,0,2,3,22,35,17.5
Jharkhand,Pakur,1999,29,17,2,21,2,25,6,1,5,13,0,3,13,38,28,6,38,7,17,2,9,4,7,1,2,18,1,0,237,484,16.133333333333333
Andhra Pradesh,Adilabad,1999,100,61,16,48,1,52,44,32,18,8,2,42,198,201,24,177,80,14,106,1,30,1131,17,147,32,174,2,180,1516,4156,41.148514851485146
Gujarat,Vadodara Rural,1999,72,12,3,19,2,20,40,35,6,14,2,19,67,211,24,184,32,67,56,0,9,352,1,35,1,83,0,170,1877,3136,42.95890410958904
Karnataka,Bangalore Commr.,1999,223,325,3,40,1,40,154,55,96,33,23,284,2109,6294,2403,3894,296,260,1708,77,2,3734,40,223,49,230,1,39,11104,27253,121.66517857142857
Jammu & Kashmir,Srinagar,1999,65,47,7,7,1,7,117,100,11,4,1,61,381,488,334,156,158,9,101,6,66,16,0,209,88,4,0,0,1211,3044,46.121212121212125
Gujarat,Bhavnagar,1999,63,29,2,7,0,10,61,49,9,3,2,50,205,559,192,369,114,155,103,1,26,98,0,38,5,129,0,2,3440,5089,79.515625
Mizoram,Lunglei,1999,7,5,0,3,2,1,2,1,2,2,0,1,45,121,6,114,0,1,5,2,0,3,1,11,0,1,2,0,28,230,28.75
Tamil Nadu,Kanyakumari,1999,31,65,1,4,1,5,15,8,6,3,2,5,228,260,52,208,9,9,14,6,17,1125,6,27,170,28,2,1,1703,3732,116.625
West Bengal,Midnapur,1999,119,18,44,85,1,82,74,72,0,18,31,60,37,582,107,473,361,37,27,3,23,65,58,55,3,468,2,10,2439,4619,38.49166666666667
Bihar,Muzaffarpur Rly.,1999,13,3,1,0,0,2,6,3,6,4,1,16,7,313,23,291,12,2,22,2,0,52,2,6,1,0,2,0,81,537,38.357142857142854
Bihar,Saran,1999,138,72,2,22,1,18,63,13,48,70,5,92,96,246,34,216,311,12,16,2,45,880,67,24,2,101,2,107,1089,3443,24.769784172661872
Uttar Pradesh,Gonda,1999,69,103,24,16,0,20,32,20,12,15,2,34,120,163,22,137,64,41,91,2,11,261,27,19,14,48,2,71,505,1720,24.571428571428573
Andhra Pradesh,Ranga Reddy,1999,213,94,18,72,1,73,108,85,25,26,2,79,1074,1297,345,948,67,66,528,1,69,2831,38,111,54,423,6,592,2101,9868,46.11214953271028
Nagaland,Total,1999,102,39,9,18,1,17,24,8,18,10,2,130,164,260,90,167,3,18,35,3,1,37,0,4,0,1,0,17,362,1232,11.96116504854369
Rajasthan,Udaipur,1999,65,100,1,45,2,44,163,117,43,2,1,42,296,546,171,377,434,29,232,6,49,991,11,69,1,129,0,234,2926,6364,96.42424242424242
Tamil Nadu,Sivagangai,1999,26,49,1,4,2,6,15,12,7,5,2,12,157,328,52,280,89,10,21,3,34,958,6,17,1,11,2,124,1164,3028,112.14814814814815
Bihar,Araria,1999,48,29,2,91,0,93,77,15,68,41,1,44,78,163,21,140,374,27,47,1,1,8,10,2,2,49,1,27,942,2070,42.244897959183675
Bihar,Supaul,1999,43,61,3,29,1,29,28,0,23,33,0,41,47,131,8,118,168,10,6,2,1,0,6,7,1,20,1,1,1041,1672,38.0
Madhya Pradesh,Sidhi,1999,35,21,3,42,1,42,35,31,5,11,2,15,315,345,18,328,34,0,27,0,21,563,25,106,4,66,2,87,1752,3509,97.47222222222223
Andhra Pradesh,Medak,1999,103,54,13,33,1,37,24,18,6,29,2,27,220,287,38,250,100,17,86,4,36,1369,28,99,26,190,1,337,453,3532,33.96153846153846
Odisha,Bolangir,1999,31,9,5,21,0,18,17,16,1,3,1,18,56,112,6,104,51,8,36,2,12,224,5,93,13,60,2,1,553,1321,41.28125
Chhattisgarh,Jagdalpur,1999,80,33,5,58,2,60,5,3,1,3,1,25,146,171,20,153,34,11,10,1,14,215,2,49,2,13,2,0,931,1814,22.395061728395063
Manipur,Ukhrul,1999,6,1,2,1,0,1,0,1,1,1,2,5,4,12,2,9,2,1,1,2,1,2,2,1,1,2,1,1,14,45,6.428571428571429
Haryana,Jhajjar,1999,47,28,3,23,2,20,12,6,8,2,0,27,100,183,68,117,67,20,51,0,2,194,19,44,11,123,2,82,468,1499,31.229166666666668
Assam,Dibrugarh,1999,108,23,5,37,1,37,58,39,19,16,2,30,113,326,18,307,23,15,14,0,22,350,2,39,2,18,2,110,263,1563,14.339449541284404
Maharashtra,Gadchiroli,1999,48,23,4,26,1,25,5,4,0,9,1,14,128,125,15,110,28,5,12,1,51,248,1,55,17,59,2,48,459,1365,27.857142857142858
West Bengal,Purulia,1999,68,2,6,24,2,25,15,15,1,8,5,20,6,301,3,299,71,6,17,1,5,2,2,48,2,84,1,1,604,1292,18.72463768115942
Haryana,Total,1999,780,466,79,399,2,396,451,298,150,77,142,397,3110,6116,3023,3096,749,555,1018,39,202,4745,285,478,402,1515,0,854,15905,38761,49.62996158770807
Himachal Pradesh,G.R.P.,1999,1,2,2,0,2,2,2,0,1,2,1,0,1,0,1,1,0,1,2,2,1,1,2,0,0,2,2,1,1,6,3.0
Tamil Nadu,Trichy Urban,1999,23,17,0,5,1,3,11,5,5,2,1,7,112,505,147,357,9,8,56,1,2,618,5,8,50,19,1,109,710,2280,95.0
Rajasthan,Nagaur,1999,47,17,3,21,2,20,59,34,23,4,1,21,276,406,87,318,58,16,165,6,29,521,13,64,1,104,2,92,2655,4575,95.3125
Gujarat,Dahod,1999,38,8,1,5,1,5,13,13,2,24,2,46,75,119,39,80,49,26,0,2,31,394,0,19,2,13,0,0,862,1719,44.07692307692308
Karnataka,Dharwad Commr.,1999,18,25,1,5,2,2,10,6,4,4,1,33,161,245,101,147,167,8,55,0,7,191,3,1,1,23,1,3,944,1902,100.10526315789474
Goa,North Goa,1999,24,15,6,5,2,6,3,1,3,5,2,11,188,292,81,211,32,25,29,2,8,91,2,10,0,8,2,112,403,1269,50.76
Madhya Pradesh,Raisen,1999,39,77,8,77,2,77,11,7,4,5,0,25,114,188,11,177,61,5,5,1,18,461,21,196,29,51,1,11,1602,3010,75.25
Assam,Goalpara,1999,26,10,0,37,2,33,41,35,10,36,2,14,61,117,1,116,130,10,17,2,4,50,1,55,1,65,0,99,101,871,32.25925925925926
Arunachal Pradesh,Siang West,1999,7,16,2,5,2,6,19,12,6,1,1,8,32,74,2,69,2,4,3,2,5,72,2,25,2,2,1,2,88,362,45.25
Jammu & Kashmir,Anantnag,1999,72,42,0,7,1,7,59,36,23,7,2,16,126,82,13,70,69,6,26,2,49,19,2,53,14,1,1,21,433,1106,15.150684931506849
Madhya Pradesh,Rajgarh,1999,44,68,2,94,1,93,11,7,1,5,1,35,133,217,36,183,160,8,15,1,52,536,7,197,24,48,2,93,1968,3716,82.57777777777778
Nagaland,Wokha,1999,11,5,0,3,1,1,2,2,1,1,1,3,13,27,2,28,3,1,1,2,0,7,2,1,2,2,2,1,21,95,7.916666666666667
Nagaland,Phek,1999,7,2,0,0,2,1,1,2,0,0,0,3,11,9,1,9,2,1,2,0,2,7,2,2,1,2,2,0,10,53,6.625
Maharashtra,Pune Rly.,1999,4,2,2,1,1,2,1,2,2,0,2,2,0,302,1,303,5,1,4,1,1,11,1,3,1,0,1,1,51,387,77.4
Andhra Pradesh,Vijayawada Rly.,1999,3,0,0,3,2,3,1,1,2,2,2,0,2,264,1,266,0,0,4,4,1,8,2,3,1,2,1,0,27,320,80.0
Delhi Ut,Central,1999,28,40,6,30,1,26,61,41,18,4,1,41,147,1597,559,1036,7,59,134,1,1,111,4,32,9,1,2,15,1420,3750,129.31034482758622
Maharashtra,Nasik Rural,1999,91,52,3,40,1,37,15,10,7,42,1,38,280,447,90,355,520,55,53,3,70,924,5,75,38,337,1,496,1298,4882,53.06521739130435
Rajasthan,Nagaur,1999,46,18,2,20,0,23,58,36,26,4,1,25,274,407,89,321,59,18,163,3,27,525,16,63,0,104,0,89,2656,4575,97.34042553191489
West Bengal,Hooghly,1999,80,23,33,31,0,29,43,38,1,9,65,29,13,589,43,541,365,11,15,1,2,247,10,39,1,372,1,182,871,3020,37.28395061728395
Tamil Nadu,Salem Rural,1999,76,43,1,6,2,6,36,29,8,5,1,9,67,191,77,116,170,0,3,2,34,891,6,52,8,7,2,368,2249,4224,54.857142857142854
Karnataka,Gadag,1999,20,16,3,1,1,3,3,2,1,6,0,13,54,56,15,39,107,3,23,3,1,164,5,10,1,17,2,2,393,898,42.76190476190476
Uttarakhand,Udhamsingh Nagar,1999,52,45,12,10,0,11,38,27,9,8,1,30,66,199,43,152,41,19,34,1,2,114,10,7,20,29,2,105,333,1167,22.0188679245283
Madhya Pradesh,Jabalpur Rly.,1999,3,2,1,2,2,2,1,2,2,2,3,17,1,222,7,215,0,2,0,1,2,15,1,5,2,0,2,2,96,360,90.0
West Bengal,Murshidabad,1999,130,11,37,66,2,66,50,45,7,20,1,32,10,380,25,357,108,4,17,4,2,179,14,34,1,242,2,212,1134,2684,20.48854961832061
Jammu & Kashmir,Poonch,1999,101,191,0,15,2,12,16,12,5,0,0,1,11,67,1,67,28,2,5,2,38,26,0,3,5,1,1,6,241,766,7.509803921568627
Bihar,Arwal,1999,35,65,0,1,2,2,15,1,14,7,2,7,19,26,2,25,77,11,9,2,13,211,7,9,2,13,1,21,52,590,16.38888888888889
Maharashtra,Aurangabad Rural,1999,61,13,1,27,0,26,15,7,10,13,1,47,193,272,30,242,139,11,35,0,25,780,6,53,12,248,2,173,581,2710,43.70967741935484
Uttar Pradesh,Fatehpur,1999,132,58,26,27,1,30,46,26,18,10,0,36,71,132,17,114,21,29,49,2,5,263,45,23,17,58,2,164,729,1944,14.61654135338346
Punjab,Sangrur,1999,46,47,2,17,1,16,30,19,11,5,0,12,113,157,52,104,2,17,112,4,3,220,9,18,5,35,1,99,336,1287,27.382978723404257
Jammu & Kashmir,Poonch,1999,102,187,2,12,2,15,17,9,6,3,1,0,12,65,1,65,31,3,8,2,38,27,2,4,6,4,1,8,241,764,7.41747572815534
Uttarakhand,Pithoragarh,1999,8,3,4,5,0,7,1,1,0,0,1,6,29,39,3,38,12,6,8,2,1,13,2,5,2,11,1,2,201,362,40.22222222222222
Uttar Pradesh,Ghazipur,1999,46,59,24,5,1,7,30,20,8,1,0,15,91,105,12,96,69,12,30,4,8,211,20,20,31,54,2,23,438,1308,27.829787234042552
West Bengal,24 Parganas South,1999,106,5,74,49,1,46,54,54,0,17,2,31,15,1141,275,868,325,1,6,3,10,1,46,53,2,482,2,2,3411,5825,54.4392523364486
